Bill Number	Caption	Bill History/Status	Authors	Captions	Dead|Alive|Unassigned|Law	Latest Action Date	Latest Action Chamber	Latest Action	Link | All Texts	Recent Bill Text	Introduced Text	Companions	Amendments
HB31		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB31		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB31	Unassigned								
HB32	Relating to the eviction from real property of certain persons not entitled to enter, occupy, or remain in possession of the premises.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB32	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB32"", ""Button | Geren | Moody | Smithee | Leach"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB32	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB32"", ""Referred to Judiciary & Civil Jurisprudence: Mar  3 2025  2:24PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB32	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00032I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00032I.pdf#navpanes=0		
HB33	Relating to active shooter events and other emergencies, including certain accreditations of law enforcement agencies that respond to such emergencies.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB33	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB33"", ""McLaughlin"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB33	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB33"", ""Filed"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB33	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00033I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00033I.pdf#navpanes=0		
HB34		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB34		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB34	Unassigned								
HB35		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB35		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB35	Unassigned								
HB36	Relating to the monitoring of certain family violence offenders, the provision of resources for family violence victims, and the collection of information about conditions of bond imposed in family violence cases and certain other criminal cases.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB36	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB36"", ""Bowers"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB36	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB36"", ""Filed"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB36	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00036I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00036I.pdf#navpanes=0		
HB37	Relating to perinatal palliative care provided by certain hospitals, a perinatal palliative care grant program, and a perinatal palliative care hospital recognition program.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB37	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB37"", ""Plesa"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB37	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB37"", ""Filed"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB37	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00037I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00037I.pdf#navpanes=0	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB2058"", ""HB 2058"")"	
HB38		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB38		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB38	Unassigned								
HB39	Relating to information and data regarding the incidence of veteran deaths in this state.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB39	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB39"", ""Lopez, Ray"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB39	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB39"", ""Filed"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB39	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00039I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00039I.pdf#navpanes=0	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB1300"", ""HB 1300"")"	
HB40		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB40		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB40	Unassigned								
HB41		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB41		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB41	Unassigned								
HB42		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB42		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB42	Unassigned								
HB43		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB43		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB43	Unassigned								
HB44		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB44		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB44	Unassigned								
HB45		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB45		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB45	Unassigned								
HB46		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB46		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB46	Unassigned								
HB47		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB47		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB47	Unassigned								
HB48		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB48		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB48	Unassigned								
HB49		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB49		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB49	Unassigned								
