people_id,person_hash,party,role,name,first_name,middle_name,last_name,suffix,district,votesmart_id,ballotpedia
24080,h1p9angf,D,Rep,Maria Flores,Maria,Luisa,Flores,,HD-051,201275,Lulu_Flores
24082,mthc7y05,D,Rep,Josey Garcia,Josey,,Garcia,,HD-124,201201,Josey_Garcia
24083,fmj4njld,R,Rep,Stan Gerdes,Stan,,Gerdes,,HD-017,201224,Stan_Gerdes
24084,7kz4r5mn,R,Rep,Caroline Harris Davila,Caroline,,Harris Davila,,HD-052,201290,Caroline_Harris
24085,vedsmd2k,R,Rep,Richard Hayes,Richard,,Hayes,,HD-057,201302,Richard_Hayes_(Texas)
24086,093quuvf,R,Rep,Carrie Isaac,Carrie,,Isaac,,HD-073,188387,Carrie_Isaac
24087,fq1syfaa,D,Rep,Venton Jones,Venton,C.,Jones,,HD-100,201221,Venton_Jones
24088,cbkfyieh,R,Rep,Stan Kitzman,Stan,,Kitzman,,HD-085,57174,Stan_Kitzman
24089,azt0cm61,D,Rep,Suleman Lalani,Suleman,,Lalani,,HD-076,188448,Suleman_Lalani
24090,ob7y90kc,R,Rep,Janie Lopez,Janie,,Lopez,,HD-037,0,Janie_Lopez
24091,xvsqvmhx,R,Rep,Angelia Orr,Angelia,,Orr,,HD-013,201213,Angelia_Orr
24094,9gdme3id,D,Rep,Christian Manuel,Christian,Manuel,Hayes,,HD-022,201317,Christian_Hayes
24827,82kj59bm,R,Sen,Kevin Sparks,Kevin,,Sparks,,SD-031,201056,Kevin_Sparks_(Texas_Senate_candidate)
25224,dzsct00d,D,Sen,Molly Cook,Molly,,Cook,,SD-015,201035,Molly_Cook
25225,j2ubd4c5,R,Rep,Pat Curry,Pat,,Curry,,HD-056,213389,Pat_Curry
25226,zet269w5,D,Rep,Cassandra Garcia Hernandez,Cassandra,,Garcia Hernandez,,HD-115,201253,Cassandra_Garcia_Hernandez
25227,hb76q0vj,R,Rep,Mike Olcott,Mike,,Olcott,,HD-060,201309,Mike_Olcott
25228,h04ybent,D,Rep,Lauren Ashley Simmons,Lauren,Ashley,Simmons,,HD-146,213510,Lauren_Ashley_Simmons
25229,8vwfwn0o,R,Rep,Alan Schoolcraft,Alan,,Schoolcraft,,HD-044,214546,Alan_Schoolcraft
25230,9k54hlhu,R,Rep,Katrina Pierson,Katrina,,Pierson,,HD-033,145988,Katrina_Pierson
25231,onfmjesi,R,Rep,Andy Hopper,Andy,,Hopper,,HD-064,195311,Andy_Hopper
25235,8w4tqq5n,R,Rep,Hillary Hickland,Hillary,,Hickland,,HD-055,213387,Hillary_Hickland
